system:index,prop,.geo
0,0.007905138339920948,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.40711462450592883,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.22107438016528927,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.1976284584980237,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.8161157024793388,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.2830578512396694,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.5039525691699605,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.7944664031620553,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5454545454545454,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.7458677685950413,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.8512396694214877,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.1012396694214876,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.022727272727272728,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.17984189723320157,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.2665289256198347,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.9090909090909091,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.6880165289256198,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.008264462809917356,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.25826446280991733,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.6838842975206612,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.6284584980237155,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.6859504132231405,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.981404958677686,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.5578512396694215,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.3952569169960474,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.7944664031620553,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.9262759924385633,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.7984189723320159,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.45849802371541504,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.09090909090909091,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.7541322314049587,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.8636363636363636,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.9855371900826446,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.4308300395256917,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.7644628099173554,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.8347107438016529,"{""type"":""MultiPoint"",""coordinates"":[]}"
